NR;Geschlecht;Alter;Nielsen;Bundesland;Arbeitsstatus;Kinder im Haushalt (<18);Haushaltsgröße;Haushaltsnettoeinkommen;Familienstand;Berufs- / Akademische Bildung;Schulbildung;Stadt;Urban (>100k Einw.);PLZ;Land;Platform;"1. <p>Was beschreibt deine aktuelle Wohnsituation am besten?&nbsp;</p>";"2. <p>Wie viele Kinder hast du?&nbsp;</p>";3. <p>Wie alt ist dein (ältestes) Kind?</p>;4. <p>Wie alt ist dein zweitältestes Kind?</p>;5. <p>Wie alt ist dein drittältestes Kind?</p>;6. <p>Wie alt ist dein viertältestes Kind?</p>;"7. <p>Wenn du spontan an eine Marke denkst, die für deine Familie/in deiner Familie gerade eine Rolle spielt. Welche ist es?&nbsp;</p><p><br></p>";8. <p>Auf welche Spielzeugmarke können deine Kinder gerade nicht verzichten? </p>;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Alles in allem bin ich zufrieden mit meinem Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) extrem belastet;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Klimakrise belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Die Inflation belastet mich und unser Familienleben;9. <p>Inwiefern stimmst du folgenden Aussagen zu: </p>:Ich fühle mich (im Familienalltag) häufig einsam;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Beruf;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Kind/er;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Geld/Finanzen;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:(Schwieger)Eltern;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Gesundheitliche Probleme;10. <p>Bitte gib an, inwiefern du dich um die folgenden Dinge sorgst/nicht sorgst: </p>:Vorsorge bzw. Rente;11. <p>In welchem Bereich fühlst du dich mit deiner Familie am meisten unter Druck gesetzt?</p>;12. <p>Wie viel Zeit kannst du dir im Alltag pro Tag für dich selbst (Me-Time) nehmen?</p>;13. <p>Wie verbringst du diese Zeit (Me-Time) überwiegend? </p>;14. <p>Wie kommen du und deine Familie derzeit mit eurem Haushaltsnettoeinkommen zurecht? </p>;15. <p>Hattest du/hatte deine Familie in den letzten zwei Monaten externe Unterstützung im Familienalltag (nicht von den direkten Familienmitgliedern aber z.B. von einem Babysitter)?</p>;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Nachbarn;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Freunde;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Kolleg:innen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Offizielle Einrichtungen;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Babysitter;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:Au-pair/Nanny;16. <p>Du hast angegeben, dass deine Familie in den letzten zwei Monaten externe Unterstützung gehabt hat. Von wem?</p>:freetext;17. <p>Wenn du für 2023 eine Familienurlaub/Reise planst, wohin soll es als nächstes gehen? </p>;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Auto;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Wohnmobil/wagen;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem Flugzeug;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Bahn;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit dem (Reise)Bus;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit einem Kreuzfahrtschiff;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:Mit der Fähre;18. <p>Du planst einen Familienurlaub - wie werdet ihr zum Zielort kommen?</p>:freetext;19. <p>Haben „Verschwörungstheorien“ (z.B. die Erde wäre flach, Impfungen würden einhergehen mit der Einpflanzung von Chips zur Gedankenkontrolle o.ä.) Einfluss auf deine Familie?</p>;20. <p>Gibt es jemanden in deiner Familie oder familiären Umgebung, der dir Unbehagen oder Angst bereitet?</p>;21. <p>Benötigst du Hilfe?</p>;22. Du siehst nun ein paar Begriffe. Bitte wähle die korrekte Antwort. Welcher der folgenden Begriffe passt nicht zu den anderen? Achtung: Kontrollfrage! 
441;f;25;6;Brandenburg;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;In einer Beziehung;(Noch) kein Abschluss;Realschulabschluss;Nassenheide;0;16515;DEU;iOS;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;Unter 1 Jahr;-;-;ernstings family;ravensburger;3;5;3;4;5;4;6;3;5;5;6;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Lesen;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
442;f;21;1;Niedersachsen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;(Noch) kein Abschluss;Abitur / Fachabitur;Hannover;1;30449;DEU;iOS;In einer Wohngemeinschaft;2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;penaten;duplo;6;1;3;2;1;2;5;2;2;4;3;Ich weiß es nicht;30 bis 60 Minuten;Lesen;Sehr gut;Ja;0;1;0;0;1;0;0;Südeuropa (Italien, Portugal, Spanien etc.);0;0;0;1;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
443;m;33;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Ingolstadt;1;85053;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;nike,pampers;tonies,lego;4;2;3;3;3;5;5;6;3;3;6;Erwartungen der eigenen Familie;30 bis 60 Minuten;Lesen;Ich weiß es nicht;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
444;f;61;5;Berlin;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Berlin;1;10969;DEU;Android;Mit Partner*in;2;Über 18;Über 18;-;-;Jakobs;Lego;5;3;4;5;3;2;4;3;2;2;2;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
445;f;41;2;Nordrhein-Westfalen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;1000€ bis 2000€;Single / Ledig;(Noch) kein Abschluss;Abitur / Fachabitur;Oelde;0;59302;DEU;iOS;Mit Kind(ern);4;Über 18;Über 18;11 bis 18 Jahre;1 bis 3 Jahre;Fällt mir spontan nichts ein;chicco;5;4;4;5;5;4;6;6;2;4;4;Gesellschaft, die Familien nicht genug unterstützt;Gar keine;-;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;1;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
446;f;45;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Grevenbroich;0;41516;DEU;Android;Mit Partner*in & Kind(ern);1;11 bis 18 Jahre;-;-;-;nike;Nintendo;5;4;3;3;3;2;3;2;2;3;4;Ich fühle mich nicht unter Druck gesetzt;30 bis 60 Minuten;Lesen;Gut;Nein;-;-;-;-;-;-;-;Nordeuropa (Norwegen, Schweden, inkl. Großbritannien);0;0;0;0;0;1;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
447;m;43;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Realschulabschluss;Hoechstaedt an der Donau;0;89420;DEU;Android;Mit Partner*in & Kind(ern);3;7 bis 10 Jahre;4 bis 6 Jahre;4 bis 6 Jahre;-;Schellenberg;paw patrol;3;5;1;6;6;5;6;6;3;6;6;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Organisation von Alltagsthemen;Nicht gut;Ja;0;1;0;0;0;0;0;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Das möchte ich nicht beantworten;-;Pudding
448;m;38;1;Hamburg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Hamburg;1;20095;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;4 bis 6 Jahre;-;-;Lego;LEGO;5;2;4;2;2;2;2;2;2;2;2;Erwartungen der eigenen Familie;1 bis 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
449;m;20;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Aumuehle;0;21521;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;adidas;ravensburger;3;4;5;3;5;6;6;6;3;4;3;Anforderungen von Schule / Kita;30 bis 60 Minuten;Sport;Gut;Ja;0;0;0;0;1;0;0;Westeuropa (Belgien, Frankreich, Österreich etc.);0;0;0;1;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
450;f;27;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Koethen (Anhalt);0;6366;DEU;iOS;Mit Partner*in & Kind(ern);2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;Aqon,tiptoi,geberit;tip toi,lego Duplo,toniebox,tutu flitzer;4;6;3;5;4;3;4;6;4;3;4;Vereinbarkeit Familie & Beruf;Ich weiß es nicht;fernseh schauen;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
451;m;59;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;1;80997;DEU;iOS;Mit Partner*in & Kind(ern);3;11 bis 18 Jahre;4 bis 6 Jahre;1 bis 3 Jahre;-;Ernstings Family;tonie;4;5;5;6;4;4;4;6;3;4;6;Gesellschaft, die Familien nicht genug unterstützt;5 bis 30 Minuten;Organisation von Alltagsthemen;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
452;m;32;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Ingolstadt;1;85057;DEU;Android;Mit Partner*in & Kind(ern);1;4 bis 6 Jahre;-;-;-;Mercedes,lego,YouTube,Samsung;tonie,lego;3;3;2;3;2;4;4;5;3;6;6;Anforderungen von Schule / Kita;1 bis 2 Stunden;Meditation;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
453;m;19;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Koeln;1;50827;DEU;iOS;Mit Partner*in;1;4 bis 6 Jahre;-;-;-;nike;nerf;4;3;3;3;3;3;3;4;3;3;4;Erwartungen der eigenen Familie;30 bis 60 Minuten;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Süd-Amerika;0;0;1;0;1;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
454;m;37;3b;Baden-Wuerttemberg;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbildung;Hauptschulabschluss;Vaihingen an der Enz;0;71665;DEU;iOS;In einer Wohngemeinschaft;3;11 bis 18 Jahre;7 bis 10 Jahre;7 bis 10 Jahre;-;nike;switch;2;6;2;5;5;2;6;6;4;5;3;Ich fühle mich nicht unter Druck gesetzt;5 bis 30 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
455;m;60;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;1 Person;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Zeven;0;27404;DEU;iOS;Alleine wohnend;2;Über 18;Über 18;-;-;h&m;Lego;5;3;4;6;3;3;3;3;1;3;4;Ich fühle mich nicht unter Druck gesetzt;30 bis 60 Minuten;Organisation von Alltagsthemen;Sehr gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
456;f;64;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Augsburg;1;86157;DEU;Android;Mit Partner*in;4;Über 18;Über 18;Über 18;Über 18;Edeka,Mercedes,Nike,Samsung;Lego,Star Wars;5;3;6;6;1;6;1;6;1;5;6;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Lesen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
457;f;36;4;Bayern;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Muenchen;1;81927;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;Barbie;Lego;4;6;6;6;6;5;6;6;5;5;6;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Aufräumen;Nicht gut;Ja;1;1;1;0;0;1;0;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben einen Einfluss;Ja;-;Pudding
458;f;59;6;Sachsen-Anhalt;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;4000€ bis 5000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Erdeborn;0;6317;DEU;Android;Mit Partner*in & Kind(ern);4;4 bis 6 Jahre;1 bis 3 Jahre;Unter 1 Jahr;Unter 1 Jahr;mormeln;ferlieren;6;6;5;5;6;5;5;5;5;6;6;Erwartungen der eigenen Familie;30 bis 60 Minuten;Meditation;Gut;Ja;0;0;0;1;0;1;0;Westeuropa (Belgien, Frankreich, Österreich etc.);0;0;0;0;1;1;0;0;Haben einen Einfluss;Ja;-;Pudding
459;f;56;3a;Rheinland-Pfalz;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Kottweiler-Schwanden;0;66879;DEU;Android;Mit Partner*in;3;Über 18;Über 18;Über 18;-;jako-o;Puky;5;6;5;6;6;6;6;4;1;6;4;Vereinbarkeit Familie & Beruf;Gar keine;-;Gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
460;f;32;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Remscheid;1;42859;DEU;iOS;Mit Partner*in & Kind(ern);1;7 bis 10 Jahre;-;-;-;myToys;fortnite;5;4;4;4;1;4;5;4;1;4;4;Politik, die Familien nicht genug berücksichtigt;5 bis 30 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Ja;-;Pudding
461;f;36;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;(Noch) kein Abschluss;Hauptschulabschluss;Wilhelmshaven;0;26389;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;kinder;barbie;6;2;3;4;2;3;6;6;6;6;4;Ich weiß es nicht;1 bis 2 Stunden;Sport;Nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Ja;-;Pudding
462;m;56;1;Niedersachsen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Oldenburg (Oldenburg);0;26129;DEU;Android;Mit Partner*in & Kind(ern);2;Über 18;11 bis 18 Jahre;-;-;Adidas,Nutella;Ravensburger;5;2;4;2;2;3;3;2;4;4;3;Anforderungen von Schule / Kita;1 bis 2 Stunden;Sport;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
463;m;51;6;Brandenburg;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Potsdam;1;14480;DEU;Android;Mit Partner*in;1;Über 18;-;-;-;Skoda;Playstation;6;1;1;5;1;2;1;2;1;1;6;Politik, die Familien nicht genug berücksichtigt;> 2 Stunden;mit Freunden;Gut;Nein;-;-;-;-;-;-;-;Asien;0;0;1;0;0;0;0;0;Haben einen starken Einfluss;Nein;-;Pudding
464;m;34;4;Bayern;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Hauptschulabschluss;Obernzenn;0;91619;DEU;Android;Mit Partner*in;1;Unter 1 Jahr;-;-;-;hipp;vtech;6;1;1;4;1;1;1;1;1;1;5;Politik, die Familien nicht genug berücksichtigt;1 bis 2 Stunden;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
465;m;32;6;Sachsen-Anhalt;Nicht erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Quedlinburg;0;6484;DEU;Android;Alleine wohnend;2;7 bis 10 Jahre;1 bis 3 Jahre;-;-;Volkswagen;tony;4;4;4;4;5;5;3;4;1;4;4;Gesellschaft, die Familien nicht genug unterstützt;30 bis 60 Minuten;Am Handy;Gut;Ja;0;1;0;0;0;0;0;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
466;f;57;3a;Saarland;Erwerbstätig;Keine Kinder (<18) im Haushalt;2 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Lehre / Ausbildung;Abitur / Fachabitur;Freisen;0;66629;DEU;Android;Mit Partner*in;4;Über 18;Über 18;Über 18;Über 18;Frosch;Onlinespiele;5;3;4;5;3;6;6;6;4;6;6;Vereinbarkeit Familie & Beruf;30 bis 60 Minuten;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
467;f;23;1;Schleswig-Holstein;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Norderstedt;0;22851;DEU;iOS;Mit Partner*in & Kind(ern);1;Unter 1 Jahr;-;-;-;babydream;pixi;4;5;6;6;6;2;6;5;6;3;1;Gesellschaft, die Familien nicht genug unterstützt;5 bis 30 Minuten;Am Handy;Nicht gut;Nein;-;-;-;-;-;-;-;Nord-Amerika;0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Ja;-;Pudding
468;m;21;7;Thueringen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;In einer Beziehung;Universitärer Abschluss;Abitur / Fachabitur;Erfurt;1;99096;DEU;iOS;Mit Partner*in;2;4 bis 6 Jahre;1 bis 3 Jahre;-;-;Haribo;Lego;5;2;2;3;2;5;2;3;2;4;4;Erwartungen der eigenen Familie;1 bis 2 Stunden;Sport;Sehr gut;Ja;1;0;1;0;1;0;0;Asien;0;0;1;0;0;0;0;0;Haben eher keinen Einfluss;Ja;-;Pudding
469;m;49;1;Bremen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;Mehr als 4 Personen;2000€ bis 3000€;In einer Beziehung;Lehre / Ausbildung;Hauptschulabschluss;Bremen;1;28779;DEU;Android;Mit Partner*in & Kind(ern);4;Über 18;Über 18;11 bis 18 Jahre;11 bis 18 Jahre;Samsung,Apple;playstation;6;4;6;6;4;6;6;6;6;6;3;Vereinbarkeit Familie & Beruf;> 2 Stunden;Am Handy;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Südeuropa (Italien, Portugal, Spanien etc.);1;0;1;0;0;0;0;0;Haben einen Einfluss;Ja;-;Pudding
470;f;23;1;Niedersachsen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Realschulabschluss;Braunschweig;1;38112;DEU;iOS;Mit Kind(ern);1;1 bis 3 Jahre;-;-;-;h und m,ja!,penny,dm;lego duplo;3;4;3;5;4;4;4;5;3;4;3;Vereinbarkeit Familie & Beruf;5 bis 30 Minuten;Aufräumen;Nicht gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben keinen Einfluss;Nein;-;Pudding
471;m;18;2;Nordrhein-Westfalen;SchülerIn / StudentIn / In der Ausbildung (Azubi/Lehrling);Keine Kinder (<18) im Haushalt;3 Personen;2000€ bis 3000€;Single / Ledig;(Noch) kein Abschluss;Realschulabschluss;Waltrop;0;45731;DEU;Android;Mit Partner*in & Kind(ern);2;7 bis 10 Jahre;7 bis 10 Jahre;-;-;Pampers;Playmobil;5;4;1;6;3;4;5;5;5;4;4;Gesellschaft, die Familien nicht genug unterstützt;1 bis 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Deutschland;1;0;0;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
472;m;19;2;Nordrhein-Westfalen;Erwerbstätig;Keine Kinder (<18) im Haushalt;3 Personen;>5000€;Single / Ledig;Universitärer Abschluss;Abitur / Fachabitur;Duisburg;1;47226;DEU;Android;Mit Kind(ern);1;11 bis 18 Jahre;-;-;-;Nike,Aldi;Kosmos,Lego;5;6;4;4;5;4;4;5;5;4;4;Vereinbarkeit Familie & Beruf;1 bis 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Asien;0;0;1;0;0;0;0;0;Haben überhaupt keinen Einfluss;Nein;-;Pudding
473;f;31;2;Nordrhein-Westfalen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;4 Personen;2000€ bis 3000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Marl;0;45768;DEU;Android;Mit Kind(ern);2;11 bis 18 Jahre;4 bis 6 Jahre;-;-;nike;Fußball;4;3;2;3;3;3;4;4;1;5;3;Ich fühle mich nicht unter Druck gesetzt;> 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben keinen Einfluss;Nein;-;Pudding
474;m;61;3a;Hessen;in Rente;Keine Kinder (<18) im Haushalt;2 Personen;1000€ bis 2000€;In einer Beziehung;Lehre / Ausbildung;Abitur / Fachabitur;Alsfeld;0;36304;DEU;Android;Mit Partner*in;2;Über 18;11 bis 18 Jahre;-;-;Tschibo;Brauchen keins mehr;4;4;2;3;3;1;5;5;1;6;6;Politik, die Familien nicht genug berücksichtigt;> 2 Stunden;Am Handy;Gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben überhaupt keinen Einfluss;Nein;-;Pudding
475;m;41;3a;Hessen;Erwerbstätig;Min. ein Kind (<18) im Haushalt;3 Personen;3000€ bis 4000€;Verheiratet / eingetragene Partnerschaft;Universitärer Abschluss;Abitur / Fachabitur;Michelstadt;0;64720;DEU;iOS;Mit Partner*in & Kind(ern);1;1 bis 3 Jahre;-;-;-;lego,Pampers;lego,brio;6;4;2;5;1;4;6;5;3;5;4;Erwartungen der eigenen Familie;30 bis 60 Minuten;Organisation von Alltagsthemen;Gut;Nein;-;-;-;-;-;-;-;Deutschland;0;0;0;1;0;0;0;0;Haben eher keinen Einfluss;Nein;-;Pudding
476;f;22;1;Niedersachsen;Nicht erwerbstätig;Min. ein Kind (<18) im Haushalt;2 Personen;<1000€;Single / Ledig;Lehre / Ausbildung;Realschulabschluss;Heinade;0;37627;DEU;Android;Mit Kind(ern);1;1 bis 3 Jahre;-;-;-;Pampers;MyToys;4;4;4;6;6;5;6;6;3;6;6;Vereinbarkeit Familie & Beruf;Gar keine;-;Überhaupt nicht gut;Nein;-;-;-;-;-;-;-;Wir planen keinen Urlaub;-;-;-;-;-;-;-;-;Haben eher keinen Einfluss;Das möchte ich nicht beantworten;-;Pudding
